,lat,lon,names
127,43.6295020535,-79.5674825745,Elmcrest Creek
128,43.6295231591,-79.5675175072,Elmcrest Creek
129,43.629548513,-79.567537896,Elmcrest Creek
130,43.629571746,-79.5675524706,Elmcrest Creek
131,43.6296097824,-79.5675583375,Elmcrest Creek
132,43.6296393734,-79.5675525339,Elmcrest Creek
133,43.629668964,-79.5675322065,Elmcrest Creek
134,43.6296964534,-79.5675031402,Elmcrest Creek
135,43.6297218417,-79.5674653473,Elmcrest Creek
136,43.6297493551,-79.5673955598,Elmcrest Creek
137,43.6297789936,-79.5672937653,Elmcrest Creek
138,43.6298155984,-79.5671473908,Elmcrest Creek
139,,,
140,43.6296878,-79.5651028543,Elmcrest Creek
141,43.6296312662,-79.5651275531,Elmcrest Creek
142,43.629608013,-79.5651479009,Elmcrest Creek
143,43.6295847325,-79.5652002331,Elmcrest Creek
144,43.6295508453,-79.5653369575,Elmcrest Creek
145,43.6294809315,-79.5656510998,Elmcrest Creek
146,43.6294449149,-79.5658110692,Elmcrest Creek
147,43.6294300697,-79.5658925197,Elmcrest Creek
148,43.6294215805,-79.5659565163,Elmcrest Creek
149,43.6294173253,-79.5660147056,Elmcrest Creek
150,43.6294236286,-79.5660728941,Elmcrest Creek
151,43.6294405063,-79.5661194578,Elmcrest Creek
152,43.629472184,-79.5661631381,Elmcrest Creek
153,43.6295228725,-79.5662068268,Elmcrest Creek
154,43.6295693478,-79.5662359749,Elmcrest Creek
155,43.6296221551,-79.5662738541,Elmcrest Creek
156,43.6296580611,-79.5663059029,Elmcrest Creek
157,43.629693949,-79.566338026,Elmcrest Creek
158,,,
159,43.6038266087,-79.5573773269,Etobicoke Creek
160,43.6038197416,-79.5574111988,Etobicoke Creek
161,43.6038143284,-79.5574537801,Etobicoke Creek
162,43.603808926,-79.5574926453,Etobicoke Creek
163,43.6038062212,-79.5575370749,Etobicoke Creek
164,43.6038062016,-79.5575759576,Etobicoke Creek
165,43.6038061811,-79.557616686,Etobicoke Creek
166,43.6038061681,-79.5576425995,Etobicoke Creek
167,43.6038101858,-79.5576722206,Etobicoke Creek
168,43.6038142044,-79.5576999961,Etobicoke Creek
169,43.6038249495,-79.5577407348,Etobicoke Creek
170,43.6038464439,-79.5577962986,Etobicoke Creek
171,43.6038625737,-79.5578333387,Etobicoke Creek
172,43.6038840746,-79.5578759335,Etobicoke Creek
173,43.6039082697,-79.5579129938,Etobicoke Creek
174,43.6039365074,-79.5579481876,Etobicoke Creek
175,43.6039768383,-79.5579926462,Etobicoke Creek
176,43.6040158435,-79.5580241591,Etobicoke Creek
177,43.6040427375,-79.5580463948,Etobicoke Creek
178,43.604072321,-79.5580723494,Etobicoke Creek
179,43.6041140021,-79.5581168218,Etobicoke Creek
180,43.6041435899,-79.5581520171,Etobicoke Creek
181,43.6041933286,-79.5582113123,Etobicoke Creek
182,43.6042377053,-79.5582650407,Etobicoke Creek
183,43.604271312,-79.5583095056,Etobicoke Creek
184,43.6043170181,-79.5583687972,Etobicoke Creek
185,43.6043828982,-79.5584595716,Etobicoke Creek
186,43.6044178531,-79.5585077417,Etobicoke Creek
187,43.6044474309,-79.5585447831,Etobicoke Creek
188,43.6044877587,-79.5585948166,Etobicoke Creek
189,43.6045361669,-79.5586503951,Etobicoke Creek
190,43.6045939778,-79.5587133904,Etobicoke Creek
191,43.6046289373,-79.5587523076,Etobicoke Creek
192,,,
193,43.5869469453,-79.5433721933,Waterfront
194,43.5869558837,-79.5433488443,Waterfront
195,43.5869643011,-79.5433223001,Waterfront
196,43.5869689811,-79.5433004589,Waterfront
197,43.5869720952,-79.5432777621,Waterfront
198,43.5869727326,-79.5432584938,Waterfront
199,43.5869721119,-79.543233652,Waterfront
200,43.5869659057,-79.5431972524,Waterfront
201,43.5869606257,-79.5431629958,Waterfront
202,43.5869565882,-79.5431283066,Waterfront
203,43.5869531821,-79.5430897667,Waterfront
204,43.5869544332,-79.5430662141,Waterfront
205,43.5869565981,-79.5430542284,Waterfront
206,,,
207,43.5866940728,-79.5433575354,Etobicoke Creek
208,43.5867085296,-79.5433800961,Etobicoke Creek
209,43.5867374015,-79.5434165243,Etobicoke Creek
210,43.5867630349,-79.5434473652,Etobicoke Creek
211,43.5867768021,-79.5434607493,Etobicoke Creek
212,43.5867911098,-79.5434730192,Etobicoke Creek
213,43.5868099993,-79.5434849086,Etobicoke Creek
214,43.586836998,-79.5434997882,Etobicoke Creek
215,43.5868491385,-79.5435064841,Etobicoke Creek
216,,,
217,43.5863175965,-79.5406099222,Waterfront
218,43.5863274932,-79.5405729892,Waterfront
219,43.5863387635,-79.5405463601,Waterfront
220,43.586359484,-79.5405234523,Waterfront
221,43.5863847041,-79.5405036557,Waterfront
222,43.5864180337,-79.5404863289,Waterfront
223,43.586454962,-79.5404739702,Waterfront
224,43.5864881623,-79.5404660052,Waterfront
225,,,
226,43.5866940728,-79.5433575354,Etobicoke Creek
227,43.5866443793,-79.5432770939,Etobicoke Creek
228,43.5865874716,-79.5431829265,Etobicoke Creek
229,43.5865713777,-79.5431571079,Etobicoke Creek
230,43.586501662,-79.5430122215,Etobicoke Creek
231,43.5864471894,-79.5429050413,Etobicoke Creek
232,43.5863576651,-79.5427255298,Etobicoke Creek
233,43.5863236131,-79.5426518493,Etobicoke Creek
234,43.586286629,-79.5425714798,Etobicoke Creek
235,43.5862233815,-79.5424348342,Etobicoke Creek
236,43.5861980868,-79.5423879453,Etobicoke Creek
237,43.5861974569,-79.5423874743,Etobicoke Creek
238,43.5861641865,-79.5423416078,Etobicoke Creek
239,43.5861078097,-79.5422703145,Etobicoke Creek
240,43.5860881415,-79.5422459426,Etobicoke Creek
241,,,
242,43.6298537282,-79.566855755,Elmcrest Creek
243,43.6298440853,-79.5669521318,Elmcrest Creek
244,43.6298307466,-79.5670572411,Elmcrest Creek
245,43.6298155984,-79.5671473908,Elmcrest Creek
246,,,
247,43.629693949,-79.566338026,Elmcrest Creek
248,43.6297415091,-79.566374648,Elmcrest Creek
249,43.6297658446,-79.5663975262,Elmcrest Creek
250,43.6297979133,-79.5664341065,Elmcrest Creek
251,43.6298222327,-79.5664691787,Elmcrest Creek
252,43.6298388091,-79.566507291,Elmcrest Creek
253,43.6298487461,-79.5665545167,Elmcrest Creek
254,43.6298542455,-79.56660175,Elmcrest Creek
255,43.6298586457,-79.5666505187,Elmcrest Creek
256,43.6298608022,-79.5667343056,Elmcrest Creek
257,43.629855213,-79.5668409354,Elmcrest Creek
258,43.6298537282,-79.566855755,Elmcrest Creek
259,,,
260,43.5868200758,-79.5433088101,Etobicoke Creek
261,43.586870276,-79.5432875712,Etobicoke Creek
262,43.5869469453,-79.5433721933,Etobicoke Creek
263,,,
264,43.5866940728,-79.5433575354,Etobicoke Creek
265,43.5867196861,-79.543322942,Etobicoke Creek
266,43.5867712814,-79.5432543992,Etobicoke Creek
267,43.5868200758,-79.5433088101,Etobicoke Creek
268,,,
269,43.5868200758,-79.5433088101,Etobicoke Creek
270,43.5868283208,-79.5433334096,Etobicoke Creek
271,43.5868396293,-79.5434213902,Etobicoke Creek
272,43.5868409975,-79.5434450436,Etobicoke Creek
273,43.5868423654,-79.5434696383,Etobicoke Creek
274,43.5868491385,-79.5435064841,Etobicoke Creek
275,,,
276,43.6070421334,-79.564492676,Etobicoke Creek
277,43.6071456843,-79.5643836265,Etobicoke Creek
278,43.6071923583,-79.564332862,Etobicoke Creek
279,43.607221532,-79.5643007966,Etobicoke Creek
280,43.6072429336,-79.5642754123,Etobicoke Creek
281,43.6072555747,-79.5642540198,Etobicoke Creek
282,43.60726823,-79.5642232746,Etobicoke Creek
283,43.6072896691,-79.5641310091,Etobicoke Creek
284,43.6073919785,-79.5636817285,Etobicoke Creek
285,43.6073805578,-79.5635646402,Etobicoke Creek
286,,,
287,43.585318985,-79.5415568622,Etobicoke Creek
288,43.5849949407,-79.5412351858,Etobicoke Creek
289,43.5853233649,-79.5409939005,Etobicoke Creek
290,43.5853051186,-79.5409444545,Etobicoke Creek
291,43.5858857564,-79.5405195681,Etobicoke Creek
292,43.5858538648,-79.5404416929,Etobicoke Creek
293,43.586089045,-79.540266143,Etobicoke Creek
294,43.5861267155,-79.5403699902,Etobicoke Creek
295,43.5861774539,-79.5404798398,Etobicoke Creek
296,43.5862296703,-79.5405337796,Etobicoke Creek
297,43.5863175965,-79.5406099222,Etobicoke Creek
298,,,
299,43.5858290245,-79.5447789503,Waterfront
300,43.585822741,-79.5447802582,Waterfront
301,43.5857783475,-79.5447757797,Waterfront
302,43.5857365938,-79.5447652354,Waterfront
303,43.5856942676,-79.5447457871,Waterfront
304,43.585661771,-79.5447259498,Waterfront
305,43.5856230363,-79.5446837313,Waterfront
306,43.5855667359,-79.544604957,Waterfront
307,43.5855367535,-79.5445547828,Waterfront
308,43.5849276909,-79.5435884138,Waterfront
309,43.5849018703,-79.5435528681,Waterfront
310,43.5848709737,-79.5435149287,Waterfront
311,43.5848474599,-79.5434963248,Waterfront
312,43.5848186599,-79.5434841686,Waterfront
313,43.5847774996,-79.5434752356,Waterfront
314,43.5847181107,-79.5434679116,Waterfront
315,43.5845767,-79.5434617421,Waterfront
316,43.5843961847,-79.5434615999,Waterfront
317,43.5843109222,-79.5434631607,Waterfront
318,43.584262116,-79.5434639305,Waterfront
319,43.5841465733,-79.5434634511,Waterfront
320,43.5840783696,-79.5434625848,Waterfront
321,43.5840413285,-79.5434625581,Waterfront
322,43.5840107509,-79.5434617312,Waterfront
323,43.5839754639,-79.5434649378,Waterfront
324,43.5839390046,-79.5434738149,Waterfront
325,43.5838902015,-79.5434899394,Waterfront
326,43.583824327,-79.5435182117,Waterfront
327,43.5836305464,-79.5436050244,Waterfront
328,43.583586434,-79.5436187251,Waterfront
329,43.5835558647,-79.5436195203,Waterfront
330,43.5835264585,-79.5436154499,Waterfront
331,43.5834976584,-79.543603294,Waterfront
332,43.5834535586,-79.5435838583,Waterfront
333,43.5834038718,-79.5435805038,Waterfront
334,43.5833828898,-79.5435793,Waterfront
335,43.5833647332,-79.54358107,Waterfront
336,43.5833349176,-79.543588181,Waterfront
337,43.5833089914,-79.5435935116,Waterfront
338,43.5832817675,-79.5436024076,Waterfront
339,43.5832584233,-79.5436113063,Waterfront
340,43.5832286057,-79.5436237542,Waterfront
341,43.5832039736,-79.5436344351,Waterfront
342,43.5831689601,-79.543652241,Waterfront
343,43.583126175,-79.5436789568,Waterfront
344,43.5830691121,-79.5437092285,Waterfront
345,43.5830198445,-79.5437395057,Waterfront
346,43.582965381,-79.5437751285,Waterfront
347,43.5829096316,-79.5438071717,Waterfront
348,43.5828447908,-79.543839233,Waterfront
349,43.582790332,-79.5438623738,Waterfront
350,43.5827242157,-79.5438872769,Waterfront
351,43.5826788331,-79.5439032918,Waterfront
352,43.5826282754,-79.5439175199,Waterfront
353,43.5825854866,-79.5439299705,Waterfront
354,43.5825530793,-79.5439352838,Waterfront
355,43.5825258575,-79.5439388302,Waterfront
356,43.5824947388,-79.5439405907,Waterfront
357,43.5824441768,-79.543942337,Waterfront
358,43.5823819476,-79.5439476534,Waterfront
359,43.5823145329,-79.5439547367,Waterfront
360,43.5822899028,-79.5439600557,Waterfront
361,43.5822730494,-79.5439671758,Waterfront
362,43.5822523052,-79.5439796423,Waterfront
363,43.5822354483,-79.5439956778,Waterfront
364,43.5822185803,-79.5440170626,Waterfront
365,43.5822069221,-79.54404385,Waterfront
366,,,
367,43.5861089904,-79.5445424129,Waterfront
368,43.5860266512,-79.5446418399,Waterfront
369,43.5859868293,-79.5446865514,Waterfront
370,43.5859515399,-79.5447188829,Waterfront
371,43.5859109503,-79.5447471611,Waterfront
372,43.5858691923,-79.5447705965,Waterfront
373,43.5858290245,-79.5447789503,Waterfront
374,,,
375,43.6358830541,-79.5696339262,Elmcrest Creek
376,43.6358699541,-79.5695796768,Elmcrest Creek
377,43.6358599703,-79.5695225681,Elmcrest Creek
378,43.6358562306,-79.5694700771,Elmcrest Creek
379,43.6358521798,-79.5693370275,Elmcrest Creek
380,43.6358523003,-79.5691379994,Elmcrest Creek
381,43.635854319,-79.5689850404,Elmcrest Creek
382,43.6358503533,-79.5688590801,Elmcrest Creek
383,43.6358509727,-79.5687871981,Elmcrest Creek
384,43.6358607838,-79.5687130215,Elmcrest Creek
385,43.6358768753,-79.5686281315,Elmcrest Creek
386,43.6359096604,-79.5685046792,Elmcrest Creek
387,43.635973126,-79.5682389088,Elmcrest Creek
388,43.6359861928,-79.568168937,Elmcrest Creek
389,43.6359918674,-79.5681173985,Elmcrest Creek
390,43.6360134199,-79.5680969486,Elmcrest Creek
391,43.6360806199,-79.568058877,Elmcrest Creek
392,43.6361124232,-79.5680412644,Elmcrest Creek
393,,,
394,43.6383733841,-79.5727154421,Elmcrest Creek
395,43.6386218356,-79.5729628684,Elmcrest Creek
396,43.638923725,-79.5732565918,Elmcrest Creek
397,43.6391263558,-79.5734518489,Elmcrest Creek
398,43.639313584,-79.5736345083,Elmcrest Creek
399,43.6394797433,-79.573797622,Elmcrest Creek
400,43.6396700117,-79.5739828777,Elmcrest Creek
401,43.6398355477,-79.5741485954,Elmcrest Creek
402,43.6399713182,-79.5743106829,Elmcrest Creek
403,43.6400877192,-79.5744979204,Elmcrest Creek
404,43.6402842094,-79.5748849575,Elmcrest Creek
405,43.6403734992,-79.5750555174,Elmcrest Creek
406,43.6404304118,-79.5751972823,Elmcrest Creek
407,,,
408,43.6358830541,-79.5696339262,Elmcrest Creek
409,43.6359017943,-79.569664498,Elmcrest Creek
410,43.6359216284,-79.569687511,Elmcrest Creek
411,43.6359471314,-79.569713567,Elmcrest Creek
412,43.6359846084,-79.569750915,Elmcrest Creek
413,43.636022708,-79.5697856736,Elmcrest Creek
414,43.6360884838,-79.5698402444,Elmcrest Creek
415,43.6361766172,-79.5698831417,Elmcrest Creek
416,43.6362499968,-79.5698972811,Elmcrest Creek
417,43.6363391713,-79.5699156279,Elmcrest Creek
418,43.636461064,-79.5700103579,Elmcrest Creek
419,43.6366772769,-79.5701137743,Elmcrest Creek
420,43.6367236873,-79.5701443293,Elmcrest Creek
421,43.6367785302,-79.5701778066,Elmcrest Creek
422,43.6368518322,-79.5702156558,Elmcrest Creek
423,43.6369889603,-79.5702724923,Elmcrest Creek
424,43.6370807277,-79.5703045505,Elmcrest Creek
425,43.6371830483,-79.5703453463,Elmcrest Creek
426,43.637236837,-79.5703657474,Elmcrest Creek
427,43.6372547678,-79.5703657683,Elmcrest Creek
428,43.6373022482,-79.5703687363,Elmcrest Creek
429,43.6374615645,-79.5703674597,Elmcrest Creek
430,43.6374879367,-79.5703703907,Elmcrest Creek
431,43.6375259171,-79.5703791603,Elmcrest Creek
432,43.6375442929,-79.5703872997,Elmcrest Creek
433,43.6375638805,-79.5704009807,Elmcrest Creek
434,43.6375867342,-79.5704169212,Elmcrest Creek
435,43.6376077051,-79.5704353382,Elmcrest Creek
436,43.6376239155,-79.5704517667,Elmcrest Creek
437,43.6376425055,-79.5704774067,Elmcrest Creek
438,43.6376644224,-79.5705089625,Elmcrest Creek
439,43.637694919,-79.570567448,Elmcrest Creek
440,43.6377215945,-79.5706187034,Elmcrest Creek
441,43.6377382705,-79.5706535499,Elmcrest Creek
442,43.6377630258,-79.5707094013,Elmcrest Creek
443,43.6377906513,-79.5707816781,Elmcrest Creek
444,43.6378149286,-79.5708532941,Elmcrest Creek
445,43.6378482626,-79.5709518654,Elmcrest Creek
446,43.6378706304,-79.57102545,Elmcrest Creek
447,43.6379284691,-79.5712202525,Elmcrest Creek
448,43.6379736937,-79.5713763091,Elmcrest Creek
449,43.6380063321,-79.5714925664,Elmcrest Creek
450,43.638040009,-79.5716175379,Elmcrest Creek
451,43.6381000149,-79.5718427962,Elmcrest Creek
452,43.6381358718,-79.5719931042,Elmcrest Creek
453,43.6381569631,-79.5720771981,Elmcrest Creek
454,43.6381768195,-79.5721496031,Elmcrest Creek
455,43.6381852526,-79.5721799414,Elmcrest Creek
456,43.6382168808,-79.5722981565,Elmcrest Creek
457,43.6382407688,-79.5723860838,Elmcrest Creek
458,43.638268643,-79.5724762468,Elmcrest Creek
459,43.6382933299,-79.572567472,Elmcrest Creek
460,43.6383052662,-79.5726092544,Elmcrest Creek
461,43.6383164243,-79.5726433267,Elmcrest Creek
462,43.6383733841,-79.5727154421,Elmcrest Creek
463,,,
464,43.6344193475,-79.5701645269,Elmcrest Creek
465,43.6343804771,-79.5701096911,Elmcrest Creek
466,43.6343804938,-79.5700825623,Elmcrest Creek
467,43.6343810115,-79.5700602922,Elmcrest Creek
468,43.6343815267,-79.570042211,Elmcrest Creek
469,43.6343840693,-79.5700206497,Elmcrest Creek
470,43.6343881271,-79.5699942196,Elmcrest Creek
471,43.6343931917,-79.5699698851,Elmcrest Creek
472,43.6343967433,-79.5699469369,Elmcrest Creek
473,43.6344038367,-79.5699170154,Elmcrest Creek
474,43.634409408,-79.5698885049,Elmcrest Creek
475,43.6344139639,-79.5698718165,Elmcrest Creek
476,43.6344215545,-79.5698530495,Elmcrest Creek
477,43.6344377338,-79.5698321856,Elmcrest Creek
478,43.634457451,-79.5698106441,Elmcrest Creek
479,43.6345044576,-79.5697640874,Elmcrest Creek
480,43.6345201281,-79.5697508942,Elmcrest Creek
481,43.6345302439,-79.5697390827,Elmcrest Creek
482,43.6345403532,-79.5697230947,Elmcrest Creek
483,43.634549958,-79.5697078001,Elmcrest Creek
484,43.6345570424,-79.5696925025,Elmcrest Creek
485,43.6345626163,-79.5696744148,Elmcrest Creek
486,43.6345681828,-79.5696535509,Elmcrest Creek
487,43.6345722333,-79.5696389563,Elmcrest Creek
488,43.6345819083,-79.569582392,Elmcrest Creek
489,,,
490,43.6345819083,-79.569582392,Elmcrest Creek
491,43.6345902325,-79.5695266318,Elmcrest Creek
492,43.6345907446,-79.5695134087,Elmcrest Creek
493,43.6345912657,-79.569500198,Elmcrest Creek
494,43.6345942999,-79.5694842018,Elmcrest Creek
495,43.6345993697,-79.5694661258,Elmcrest Creek
496,43.6346104917,-79.5694424922,Elmcrest Creek
497,43.6346317219,-79.5694195518,Elmcrest Creek
498,43.6346615489,-79.5693959397,Elmcrest Creek
499,43.6347110776,-79.5693612086,Elmcrest Creek
500,43.6347484648,-79.5693389808,Elmcrest Creek
501,43.6347671653,-79.5693313556,Elmcrest Creek
502,43.6347868645,-79.5693244256,Elmcrest Creek
503,43.6348106157,-79.5693154057,Elmcrest Creek
504,43.6348308246,-79.5693140409,Elmcrest Creek
505,43.6348500237,-79.569315451,Elmcrest Creek
506,43.6348670159,-79.5693194612,Elmcrest Creek
507,43.6348809559,-79.5693246329,Elmcrest Creek
508,43.6348994585,-79.5693316688,Elmcrest Creek
509,43.6349241369,-79.5693520595,Elmcrest Creek
510,43.6353481765,-79.5695112454,Elmcrest Creek
511,43.6354056302,-79.5695294557,Elmcrest Creek
512,43.6354443743,-79.5695407784,Elmcrest Creek
513,43.6355373133,-79.5695708159,Elmcrest Creek
514,43.6356159098,-79.5695915046,Elmcrest Creek
515,43.6356962442,-79.5696111295,Elmcrest Creek
516,43.6357636667,-79.569622473,Elmcrest Creek
517,43.6358233605,-79.5696279579,Elmcrest Creek
518,43.6358564403,-79.5696284299,Elmcrest Creek
519,43.6358830541,-79.5696339262,Elmcrest Creek
520,,,
521,43.5868970042,-79.5435878534,Waterfront
522,43.5868884729,-79.543606212,Waterfront
523,43.5866816206,-79.5438616575,Waterfront
524,,,
525,43.5868491385,-79.5435064841,Etobicoke Creek
526,43.5868610142,-79.5435228265,Etobicoke Creek
527,43.5868788286,-79.5435451172,Etobicoke Creek
528,43.5868970042,-79.5435878534,Etobicoke Creek
529,,,
530,43.5868970042,-79.5435878534,Waterfront
531,43.5868993477,-79.5435560419,Waterfront
532,43.5869126064,-79.5434863694,Waterfront
533,43.5869313455,-79.5434204654,Waterfront
534,43.5869469453,-79.5433721933,Waterfront
535,,,
536,43.5885038377,-79.5456386753,Etobicoke Creek
537,43.5884555247,-79.5455991839,Etobicoke Creek
538,43.5883927737,-79.5455585795,Etobicoke Creek
539,43.5883466537,-79.5455273252,Etobicoke Creek
540,43.5883217091,-79.5455085944,Etobicoke Creek
541,43.5883012947,-79.5454836133,Etobicoke Creek
542,43.5882816492,-79.5454492582,Etobicoke Creek
543,43.5882650352,-79.5453972338,Etobicoke Creek
544,43.5882514439,-79.5453493726,Etobicoke Creek
545,43.5882416263,-79.5453191983,Etobicoke Creek
546,43.5882280154,-79.5452983833,Etobicoke Creek
547,43.5882098758,-79.5452796455,Etobicoke Creek
548,43.5881872,-79.545259864,Etobicoke Creek
549,43.5881463707,-79.5452338274,Etobicoke Creek
550,43.5881025189,-79.5452025875,Etobicoke Creek
551,43.5880654813,-79.5451713527,Etobicoke Creek
552,43.5880337278,-79.5451390817,Etobicoke Creek
553,43.5879717459,-79.5450651788,Etobicoke Creek
554,43.5879006975,-79.5449735853,Etobicoke Creek
555,43.5878523928,-79.54491225,Etobicoke Creek
556,43.5878519789,-79.5449116181,Etobicoke Creek
557,43.5878095949,-79.5448559714,Etobicoke Creek
558,43.5877252016,-79.5447529508,Etobicoke Creek
559,43.5876608833,-79.5446681493,Etobicoke Creek
560,43.587628273,-79.5446169559,Etobicoke Creek
561,43.5875687416,-79.5445368764,Etobicoke Creek
562,43.5875169735,-79.544446128,Etobicoke Creek
563,43.5874909773,-79.5443996455,Etobicoke Creek
564,43.5874668065,-79.5443581797,Etobicoke Creek
