name,number,Population,Population Change % (2011-2016),Population density per sq km,Land area sq km,Children % (0-14 years),Seniors % (65+ years),Average household size,Renter %,University Education %,Average Income,Annual Resident Turnover %,Car Commute %,Visible Minority %,English/French Bilingual %
Oakwood Village,107,21210,0.7,9511,2.23,14.8,17.4,2.42,47,28.5,39803,11.3,41.9,43.2,9.2
O'Connor-Parkview,54,18675,2,3780,4.94,16.7,14.4,2.48,53.6,25.8,43907,12.7,54.7,37.7,8.4
Old East York,58,9233,1.3,3997,2.31,15.9,16.5,2.43,34.8,31.5,53315,8.9,57.6,26.8,10.2
Palmerston-Little Italy,80,13826,0.6,9601,1.44,9.3,14.2,2.17,58.6,49.7,58071,20.1,25,21.4,17.5
Parkwoods-Donalda,45,34805,0.5,4691,7.42,16.8,15.1,2.61,60.2,32.6,42516,13.3,61.6,54.9,10
Pelmo Park-Humberlea,23,10722,23.1,2547,4.21,16.3,14.8,2.89,17.4,17.8,39003,8.3,71.5,43.6,4.6
Playter Estates-Danforth,67,7804,2,8671,0.9,14.7,15.6,2.14,53.7,52.1,70831,12,31.5,20.4,19.7
Pleasant View,46,15818,-2,5273,3,13,20.2,2.86,24.3,33.6,36346,13.3,64.8,64.3,7.3
Princess-Rosethorn,10,11051,-1.3,2138,5.17,16,18.3,2.86,15.4,48.3,99055,7.2,78,19.1,10.5
Regent Park,72,10803,8,16880,0.64,15.1,6.8,2.15,74.6,34.1,34597,20.6,26.3,70,9.4
Rexdale-Kipling,4,10529,0.4,4229,2.49,15.6,16.4,2.69,43.9,18.6,34418,9.2,66.9,51.8,5.8
Rockcliffe-Smythe,111,22246,-0.1,4414,5.04,15.8,16.4,2.45,43.3,14.4,34059,9.2,57.2,46,6
Roncesvalles,86,14974,-0.5,9851,1.52,15.4,11.2,2.16,56.4,43.7,50580,14.9,34.7,25.5,17.4
Rosedale-Moore Park,98,20923,1.4,4500,4.65,12.5,24.6,2.05,44.6,63.5,207903,13.8,41.4,18.1,19.6
Rouge,131,46496,1.3,1260,36.89,17.1,14.2,3.44,16.5,24.1,39556,8.5,70.6,81,5.6
Runnymede-Bloor West Village,89,10070,4.5,6333,1.59,20.4,12.4,2.64,21.4,51.9,71888,8.9,47.8,15.9,18.7
Rustic,28,9941,-0.1,4734,2.1,19.5,18.8,2.67,62,10.2,31800,7.7,58.6,59.6,3.5
Scarborough Village,139,16724,0.7,5395,3.1,20.1,13.3,2.77,54.6,22.4,32913,12.5,54.6,73.4,6.7
South Parkdale,85,21849,2.8,9583,2.28,9.7,11.6,1.81,86.6,31.7,35207,17.8,25.4,48,10.8
South Riverdale,70,27876,8.7,3136,8.89,14.3,11.9,2.24,40.1,40.7,53803,14.4,41.1,41.5,13.1
St.Andrew-Windfields,40,17812,-0.8,2430,7.33,14.8,18.2,2.75,33.4,51.7,100516,13.4,67.1,50.6,13.3
Steeles,116,24623,-1.6,5436,4.53,12.8,23.4,3.11,16.1,27.5,31786,9.5,72.9,91,3.3
Stonegate-Queensway,16,25051,1.5,3199,7.83,16.2,16.6,2.4,35.3,40.7,64140,9.7,64.1,18.5,9.8
Tam O'Shanter-Sullivan,118,27446,0.2,5073,5.41,14.2,22.4,2.69,43.6,29.8,34200,12.7,60.9,75.2,5.3
Taylor-Massey,61,15683,0.6,15528,1.01,18.8,10.9,2.47,67.2,36.2,30430,15,31.1,66.9,6.3
The Beaches,63,21567,2.1,6058,3.56,17.7,13.7,2.27,37.6,52.4,92580,13.5,56.3,13.9,16.9
Thistletown-Beaumond Heights,3,10360,2.2,3130,3.31,16.7,18.1,3.09,38,20.1,32815,8.3,73.2,64.3,4.3
Thorncliffe Park,55,21108,9.8,6787,3.11,26.5,11.2,2.93,89,33.3,28875,15.7,44.5,79.1,4.9
Trinity-Bellwoods,81,16556,-1.5,9570,1.73,10.5,14.2,2.35,47.9,39.7,50694,15.8,29,29.7,13.1
University,79,7607,-2.2,5395,1.41,7.4,17.4,1.97,62.5,57,50757,25,19.3,33,16.6
Victoria Village,43,17510,1.9,3710,4.72,15,19.4,2.32,58.8,25.8,35786,13.9,54.2,59.1,7.8
Waterfront Communities-The Island,77,65913,52,8943,7.37,5.5,7,1.61,58.7,67.3,70600,31.6,22.5,44,14.2
West Hill,136,27392,3.2,2856,9.59,16.9,15.5,2.7,40.6,19.3,33323,10.5,59.9,63.3,6.6
West Humber-Clairville,1,33312,-2.3,1117,29.81,15.2,14.9,3.2,31.8,22.2,31771,12.4,68,81.9,3.9
Westminster-Branson,35,26274,3.3,7339,3.58,13.1,19.5,2.55,60.3,37.3,32724,14.2,51.5,44.9,5.9
Weston,113,17992,-1,7197,2.5,17.2,13.6,2.33,63.1,16.4,32997,12.9,57,60.8,5.4
Weston-Pelham Park,91,11098,-7.6,7601,1.46,15.1,11.9,2.62,41.4,17.1,33528,10.8,47.9,38,6.6
Wexford/Maryvale,119,27917,3.3,2724,10.25,15.1,16.9,2.73,39.7,22.7,35047,11.5,61.7,55.5,6.3
Willowdale East,51,50434,12,10087,5,11.7,12.4,2.25,38.1,56.6,45326,24.7,48.6,75,7.6
Willowdale West,37,16936,12.9,5820,2.91,10.5,19.9,2.22,36.4,50.6,44576,21.4,51.2,57.8,7.9
Willowridge-Martingrove-Richview,7,22156,3.8,4007,5.53,16,22.1,2.6,46.1,28.3,44177,9.7,72,40,6.4
Woburn,137,53485,0.3,4345,12.31,18,15,2.87,47,25,30878,12.7,59.8,76.4,4.7
Woodbine Corridor,64,12541,7.2,7838,1.6,18.5,11,2.28,41.8,41.7,55199,10.4,44.3,27.2,14.1
Woodbine-Lumsden,60,7865,0.5,6722,1.17,14.8,13.9,2.27,31.7,33.6,47710,12,44,31,11.6
Wychwood,94,14349,2.6,8541,1.68,13,22,2.24,51.6,41.9,54460,12.6,36.2,27.4,14.9
Yonge-Eglinton,100,11817,11.7,7162,1.65,15.2,13.5,2.08,61.3,62.6,89330,19.8,35.8,26.7,17.3
Yonge-St.Clair,97,12528,7.5,10708,1.17,9.7,23.2,1.76,61.6,61,114174,19.4,34.8,20.8,18.5
York University Heights,27,27593,-0.4,2086,13.23,14.7,12.8,2.71,54.7,23.6,29958,15,51.7,69.4,4.4
Yorkdale-Glen Park,31,14804,0.8,2451,6.04,13.2,22.3,2.62,38.3,19.9,38527,10.6,55.5,45.2,5.6
